1	9787010121208	侵权法上的作为义务研究	苏艳英	人民出版社	2013	17.9	17
34	9787100098274	近代中国留学史 近代中国教育思想史	舒新城	商务印书馆	2014-11	55	55
35	9787100098397	微观经济学十讲	王则柯	商务印书馆	2013-7	32	32
36	9787100098717	美国知识产权法原理	[美]肯尼思•L.波特	商务印书馆	2013-8	66	66
37	9787100101219	灵魂的居所	刘华	商务印书馆	2014-1	56	56
38	9787100103800	中华国学	张荣明	商务印书馆	2014-4	46	46
39	9787100107204	涂尔干：社会与国家	渠敬东	商务印书馆	2014-12	65	65
40	9787100116220	中国语言规划三论	李宇明	商务印书馆	2015-10	36	36
41	9787100120555	思辨的张力	邓晓芒	商务印书馆	2016-6	108	108
42	9787100123358	质朴坚毅	赵旭云	商务印书馆	2016-8	55	55
43	9787100126618	镜像	冯晏	商务印书馆	2016-11	40	40
44	9787100126656	剑桥应用语言学年度评论2014	[美]Charlene Polio	商务印书馆	2016-12	38	38
45	9787100127981	汉语图解小词典（普什图语版）	[美] 吴月梅	商务印书馆	2016-12	298	298
46	9787100129800	伦理学原理	[英] G.E.摩尔	商务印书馆	2017-4	26	26
47	9787100152013	佛学研究十八篇	梁启超	商务印书馆	2017-12	143	143
48	9787100155656	《孝经》《大学》	纪捷晶	商务印书馆	2018-1	20	20
49	9787100156110	中国政治学年度评论（2017）	肖滨	商务印书馆	2017-12	38	38
50	9787100162616	《闲情赋》源流概说	武怀军	商务印书馆	2018-7	40	40
51	9787100162661	法拉第传	[美]约瑟夫·阿盖西	商务印书馆	2019-8	78	78
52	9787100164467	灵智之犬	赵序茅	商务印书馆	2018-9	48	48
53	9787100167499	画道	散子	商务印书馆	2018-11	148	148
54	9787100170918	中北亚城市文明的历史学和考古学研究	列昂尼德•R. 科兹拉索夫	商务印书馆	2019-7	96	96
55	9787100171489	凯撒和克莉奥佩特拉	[英]萧伯纳	商务印书馆	2019-4	32	32
56	9787100181129	元曲品读·感怀言志篇	童健	商务印书馆	2020-7	25	25
57	9787100182157	牛津高阶英汉双解词典(第九版·软精装)	[英]霍恩比	商务印书馆	2020-7	398	398
58	9787100182751	黑格尔哲学讲演录	邓晓芒	商务印书馆	2020-6	48	48
59	9787100189187	纪德读书日记	[法]安德烈·纪德	商务印书馆	2020-9	45	45
60	9787101017496	不下带编	巾箱说、金埴	中华书局	1997-12	12	12
61	9787101024838	管子校注	黎翔凤	中华书局	2009-3	150	150
62	9787101025002	中国典籍与文化论丛（第六辑）	《中国典籍与文化》编辑部	中华书局	2000-2	21	21
63	9787101039771	二十世纪中国古史研究主要思潮概论	田旭东	中华书局	2003	22	22
64	9787101042245	蹴鞠	刘怀祥	中华书局	2004-03	12	12
65	9787101045277	元丰九域志 (上下册)	王存	中华书局	1984-12	98	98
66	9787101047226	封氏闻见记校注	封演	中华书局	2008-3	16	16
67	9787101055467	清代李商隐诗歌接受史稿	米彦青	中华书局	2007-7	34	34
68	9787101058789	叶嘉莹说初盛唐诗	叶嘉莹	中华书局	2008-1	38	38
69	9787101064889	北洋集团崛起研究	张华腾	中华书局	2009-4	46	46
70	9787101074802	大乘起信论讲记	印顺	中华书局	2010-6	20	20
71	9787101075137	儒家哲学新论	傅佩荣	中华书局	2010-11	32	32
72	9787101081596	战国策	缪文远/编著	中华书局	2011-9	12	12
73	9787101082876	初照楼文集	朱季海	中华书局	2011-11	68	68
74	9787101105926	莫言墨语	莫言	中华书局	2015-1	298	298
75	9787101107395	暗影	熊剑平	中华书局	2015-6	32	32
76	9787101109986	哲学纲要	李泽厚	中华书局	2015-8	78	78
77	9787101110036	甲午！甲午！	马骏杰	中华书局	2015-6	36	36
78	9787101111767	新潮 教育生涯一周甲	吴俊升	中华书局	2016-3	32	32
79	9787101120998	汉魏六朝杂传集	熊明 辑校	中华书局	2017-6	298	298
80	9787101128918	岑參詩箋註	廖立 箋註	中華書局	2018-3-1	99	99
81	9787102039121	周运昌画虾	周运昌	人民美术	2007-4	26	26
82	9787102040127	素描风景技法	郜宗彦	人民美术	2007-9	18	18
83	9787102074221	中国最具代表性碑帖临摹范本丛书-灵飞经	钟绍京	人民美术出版社	2016	29	29
84	9787102076935	指头画谱	杨一墨	人民美术出版社	2018	85.1	85
85	9787103000823	视唱教程	陈洪	人民音乐出版社	1984-10	14	14
86	9787103024782	中央音乐学院海内外低音提琴	魏宝正	人民音乐出版社	2004-9	131.4	131
87	9787103028131	弗朗索瓦·德维安纳长笛简易二重奏18首	本社	人民音乐	2004-5	7.5	7
88	9787103033630	全国小提琴演奏考级作品集	蒋雄达	人民音乐	2007-8	29	29
89	9787103038857	全国二胡演奏考级作品集	安如砺 中国音乐家协会音乐考级委员会	人民音乐出版社	2010-5	34	34
90	9787103049075	中美综合性大学舞蹈教育理念比较	王杰	人民音乐出版社	2015-3-1	48	48
91	9787104025344	漫画成语	墨人	中国戏剧	2007-10	15	15
92	9787104037651	精品咖啡学（上）	韩怀宗	中国戏剧出版社	2012-9	58	58
93	9787104044536	西方舞台美术基础	于海勃	中国戏剧出版社	2016-12	98	98
94	9787105047659	临床药品的经营与管理	任爱东	民族出版社	2001-12-1	19.8	19
95	9787105052790	克木语研究	陈国庆	民族出版社	2002-11	36	36
96	9787105115273	社会变革时期的彝族婚姻形态研究	沈乾芳	民族出版社	2011-7	50	50
97	9787105135417	سىبانباي ءبي	مۇرات سۇلتان ۇلى جازعان  (木拉提·苏里堂/著)	民族出版社	2014-12	10	10
98	9787105137275	西北少数民族民俗文化变迁的社会性别研究	李城瑶	民族出版社	2014-12	55	55
99	9787106013080	大国寡民	卢跃刚	中国电影出版社	1998-3	25.6	25
100	9787106020965	中国电影史	倪骏	中国电影出版社	2004-2	22	22
101	9787106029692	华语电影的跋涉者	中国电影家协会	中国电影出版社	2008-8	37	37
102	9787106048464	雪域獒王	孙立军	中国电影出版社	2018	57.1	57
103	9787107189470	数学教师教学用书(选修1-1A版普通高中课程标准实验教科书) (平装)	章建跃	人民教育出版社	2007-5	7.1	7
104	9787107205866	汉语2008	王玉	人民教育	2007-8	19.7	19
105	9787107210501	花腔女高音中国声乐曲选集	韩昌梅	人民教育出版社	2008-5	28.9	28
106	9787107214486	新编雅思写作	曲英	人民教育	2008-12	29	29
107	9787107243349	石版画研究	郭召明 李晓林	人民教育出版社	2015	47	47
108	9787108012968	温迪嬷嬷讲述绘画的故事	温迪.贝克特嬷嬷(英)	三联书店	1999-6	180	180
109	9787108016775	七缀集	钱锺书	生活·读书·新知三联书店	2002-6	12	12
110	9787108021076	走出孤岛	皮黔生	生活.读书.新知三联书店	2004-4	28	28
111	9787108025470	蒙文通学记	蒙默	生活读书新知三联书店	2006-11	22	22
112	9787108025500	叶雨书衣	范用	生活·读书·新知三联书店	2007-2	39	39
113	9787108032164	中国学术思想史论丛（四）	钱穆	生活·读书·新知三联书店	2009-12	22.8	22
114	9787108033703	基督教要义	[法] 约翰·加尔文	生活·读书·新知三联书店	2010年3月	155	155
115	9787108036087	纸天堂	祝勇	生活·读书·新知三联书店	2011-6	37	37
116	9787108036865	鲁迅箴言（中日双语版）	鲁迅	生活·读书·新知三联书店	2011-5-20	49	49
117	9787108040589	朱枫传	冯亦同	生活·读书·新知三联书店	2012-5	33	33
118	9787108043979	社会分工论	[法] 埃米尔·涂尔干	生活·读书·新知三联书店	2013-2	39	39
119	9787108044075	一个人的旅行	黄照达	生活·读书·新知三联书店	2013-4	38	38
120	9787108045485	课比天大（李浩作品系列）	李浩	生活·读书·新知三联书店	2013-6	28	28
121	9787108048165	戴高乐 撒切尔夫人（陈乐民作品）	陈乐民	生活·读书·新知三联书店	2014-3	48	48
122	9787108051776	信仰	何光沪/编	生活·读书·新知三联书店	2017-1	46	46
123	9787108058461	拉铁摩尔与边疆中国	姚大力/等著	生活·读书·新知三联书店	2017-5	39	39
124	9787108061768	《周易》与中国文化	刘大钧	生活·读书·新知三联书店	2018-7	35	35
125	9787108064530	过敏大流行	[美]莫伊塞斯·贝拉斯克斯-曼诺夫	生活·读书·新知三联书店	2019-10	58	58
126	9787108069160	欧亚之门	( 俄）安德列·叶皮马霍夫	生活·读书·新知三联书店	2021-4	89	89
127	9787108069658	趣玩 II：中国传世智巧器具	刘念	生活·读书·新知三联书店	2021-3-31	148	148
128	9787109074699	蝎子、蜈蚣养殖实用技术	赵渤	中国农业出版社	2002-7	12	12
129	9787109084100	动物繁殖新技术	岳文斌等编	中国农业出版社	2003-11	40	40
130	9787109092983	芳香蔬菜栽培实用技术	孙京涛	中国农业出版社	2004-8	3.4	3
131	9787109093195	实用葡萄栽培图诀272例	张清	中国农业出版社	2004-8	5	5
132	9787109101456	猕猴桃栽培与贮藏加工新技术/农业科技入户丛书	赵峰/编	中国农业出版社	2005-6	3.5	3
133	9787109147805	当代世界农业	许世卫 信乃诠	中国农业出版社	2010-9	360	360
134	9787109151314	图说西葫芦栽培关键技术	王久兴//冯志红	中国农业	2010-12	10	10
135	9787109213647	农村经济发展问题研究（2013-2015）	郑文堂 王大山 邓蓉	中国农业出版社	2016	30.2	30
136	9787109214477	村官梦·农村情 全国大学生村官作品选编	张成	中国农业出版社	2016	36.1	36
137	9787110004425	原理集	张奠宙	科学普及出版社	1988	2.4	2
138	9787110050866	科学教育改革的蓝本	美国科学促进协会	科学普及出版社	2001-5	29	29
139	9787110056462	小学语文一年级 下 帮你学语文练习册	本社	科学普及	2004-1	5.8	5
140	9787110056745	学画牵牛花	华敬俊	科学普及出版社	2004-1	10	10
141	9787110068540	体验大自然	(德)玛蒂娜·戈尔加斯|译者:荆妮|校注:王宏|绘画:(德)克尔斯滕·施拉格	科普	2011-1	19.8	19
142	9787110080160	那是谁	克里斯汀·舒尔茨·赖斯	科学普及出版社	2013-1	36	36
143	9787110081969	中国世纪经典纪录（艺术卷）	洪宇	科学普及出版社	2013	112.5	112
144	9787111045175	机械工程手册--专用机械卷(四)	周德成编	机械工业出版社	1997-11	145	145
145	9787111065296	中小型水轮发电机的安装与维修	刘云	机械工业出版社	1999-03	42	42
146	9787111072935	初级车工技术	机械工业职业技能鉴定指导中心/编	机械工业出版社	1999-09	12.5	12
147	9787111084709	Visual C++程序设计教程	姚瑞霞	机械工业出版社	2001-7	29	29
148	9787111087519	CIT	Thomas M.Thomas Mark J.Newcomb Andrew G.Mason	机械工业出版社	2001-4	79	79
149	9787111090281	理论力学	朱炳麒/编	机械工业出版社	2003-1	28	28
150	9787111092865	Java 编程思想	Bruce Eckel	机械工业出版社	2002-1-1	69	69
151	9787111093435	Windows 2000 TCP/IP技术内幕	(美)Ian McLean王建华 王卫峰 席赛珠等	机械工业出版社	2001-10	79	79
152	9787111099383	高级Palm编程	(美)steve mann ray rischpater	机械工业出版社	2002-3	38	38
153	9787111099475	XSL高级编程	韩平	机械工业出版社	2002-4-1	69	69
154	9787111104308	国际财务管理	美.雷斯尼克/等著	机械工业	2002-1	60	60
155	9787111108474	从规范出发的程序设计	[美] Carroll Morgan	机械工业出版社	2002-8	45	45
156	9787111115281	前路未卜(美国总统布什的历史秘辛)	法兰克・布鲁尼	机械工业出版社	2003-1-1	25	25
157	9787111116264	软件项目管理衫指南以体系结构为中心	鲍里斯	机械工业出版社	2003-03-01	25	25
158	9787111117766	ERP生产管理系统应用专家培训教程(上)	李玲	机械工业出版社	2003-4-1	35	35
159	9787111118480	国际商务	迈克尔R.钦科陶/等著	机械工业	2003-4	93	93
160	9787111118657	供应链与物流管理	赵林度	机械工业出版社	2003-4	35	35
161	9787111124375	3法则	(美)谢斯 西索迪亚	机械工业出版社	2004-01	29.8	29
162	9787111127017	生产运作管理	马士华	机械工业出版社	2004-1-1	38	38
163	9787111127215	英语语法七日通	英卓语言系列丛书编委会	机械工业出版社	2003-9	12	12
164	9787111127239	建设工程项目成本管理	刘允延	机工	2003-9	17	17
165	9787111129066	日汉机电工程词典	杨希武/编	机械工业出版社	2004-1	198	198
166	9787111134121	温和激进领导	（美）黛布拉 E.迈耶森	机械工业出版社	2005-01	29.8	29
167	9787111137351	设备安装工程工程量清单计价	朱维益	机械工业出版社	2004-1	19	19
168	9787111140085	招标投标法适用与案例评析	林善谋	机械工业出版社	2004-3-1	29.8	29
169	9787111151951	如何有效合理避税	贺志东	机械工业出版社	2005-1	36	36
170	9787111154686	滚动轴承噪声理论与实践	颉潭成	机械工业出版社	2005-1	28	28
171	9787111161165	管理会计教程	骆珣	机械工业出版社	2005-3	36.8	36
172	9787111169444	项目计量管理	史蒂夫·纽恩多夫	第1版 (2005年7月1日)	2005-7	26	26
173	9787111172161	管接头和管件选用手册	文斌	机械工业出版社	2006-1	45	45
174	9787111172451	Java程序设计	赵景晖	机械工业出版社	2005-8	24	24
175	9787111173298	线性规划导论	瓦泽斯坦	机械工业出版社	2006-1	33	33
176	9787111177104	可编程序控制器运动控制技术	汪小澄	机械工业出版社	2006-1	20	20
177	9787111177753	计算机算法的设计与分析	Jeffrey D.Ullman	机械工业出版社	2006-1-1	48	48
178	9787111183426	质量控制与检测技术	于万成	机械工业出版社	2006-3	26	26
179	9787111187028	招聘与选拔实务手册	吴志明	机械工业出版社	2006-3	32	32
180	9787111187967	宝来轿车实用维修手册	陆耀迪	机械工业出版社	2006-6	49	49
181	9787111189121	不可不做的实验	陈国芬,胡利华,李丽峰	机械工业出版社	2006-9	20	20
182	9787111191933	Java语言程序设计进阶篇	梁	机械工业出版社	2006-8	59	59
183	9787111193647	经济法模拟试卷	全国注册资产评估师执业资格考试辅导用书编审委员会	机械工业	2007-2	25	25
184	9787111197089	摩擦学导论	B.布尚	机械工业出版社	2007-1	40	40
185	9787111197218	电子元器件与电子实习	马全喜	机械工业出版社	2006-9	24	24
186	9787111202493	汽车驾驶技巧与禁忌	何援朝,刘德碧	机械工业出版社	2007-1	20	20
187	9787111233633	宏观经济政策与发展规划	全国注册咨询工程师（投资）执业资格考试命题研究组/编	机械工业	2008-2	18	18
188	9787111238416	Java动画、图形和极富客户端效果开发	Romain Guy	机械工业出版社	2008-5	49	49
189	9787111252184	精益生产实践	丹尼斯 P.霍布斯	机械工业	2009-1	38	38
190	9787111257257	数控技术应用英语	黄星	机械工业出版社	2009-1	24	24
191	9787111284109	创业营销	皮特 莫里斯 辛德胡特 金晓彤	机械工业出版社	2009-10	45	45
192	9787111288763	AutoCAD2010中文版 电气设计实例教程	康士廷 刘昌丽 熊慧	机械工业出版社	2010-8	48	48
193	9787112030156	混凝土结构(2)	奚毓�	中国建筑工业出版社	1997-1-1	19	19
194	9787112037230	FRANCE建筑工作室	伍江等译	中国建筑工业出版社	1999-4	260	260
195	9787112040278	建筑构造.上册	李必瑜	中国建筑工业出版社	2000年01月	15.4	15
196	9787112041893	建筑工程设计施工详细图集	陈世霖	中国建筑工业出版社	2003-1	57	57
197	9787112042890	电梯安装维修人员安全手册	彭捷	中国建筑工业出版社	2000-6-1	18	18
198	9787112049875	《建设行政管理人员法律知识读本》学习指南	何伯洲	中国建工	2002-2	18	18
199	9787112061532	城市水工程建设监理	王季震 编	中国建筑工业出版社	2004-1	24	24
200	9787112070886	CONSTITUTIVE EQUATIONS FOR CONCRETE AND SOIL	韩大建	中国建筑	2005-5-1	69	69
201	9787112073177	钢结构的平面内稳定	童根树	中国建筑工业出版社	2005-10	43	43
202	9787112074433	混凝土结构 中册 混凝土结构与砌体结构设计	程文瀼/等主编	建筑工业	2005-1	36	36
203	9787112076420	直接发生	崔鹏飞	中国建筑工业出版社	2005-8	39	39
204	9787112077816	融资及案例分析	李健	中国建筑工业出版社	2005-11	24	24
205	9787112081981	房地产开发经营与管理复习纲要及模拟题集	聂琦波/编	中国建筑工业出版社	2006-6	30	30
206	9787112103867	房地产投资	张健	中国建筑工业出版社	2008-12	36	36
207	9787112103959	数字建构-青年建筑师作品	徐卫国 利奇	中国建筑工业出版社	2008-10	99	99
208	9787112105229	市政工程安全管理及技术资料编制范例	陈顺福	中国建筑工业出版社	2009-4	48	48
209	9787112110629	设计素描	邹一了	中国建筑工业出版社	2009-8	27	27
210	9787112114917	启迪	约翰•奥姆斯比•西蒙兹	中国建筑工业出版社	2010-1-1	15	15
211	9787112130788	智能建筑弱电工程设计与安装	梁华//梁晨	中国建筑工业	2011-8	79	79
212	9787112136636	区域生态安全格局	俞孔坚 王思思 李迪华	中国建筑工业出版社	2012-1	40	40
213	9787112152162	建筑节能工程监理	王培祥/著	中国建筑工业出版社	2013	38	38
214	9787112164547	物业管理综合实训（第二版）/全国高职高专教育土建类专业教学指导委员会规划推荐教材	黄亮	中国建筑工业出版社	2015	26.4	26
215	9787112171323	中国徽州地区传统村落空间结构的演变	王玉	中国建筑工业出版社	2015-1-1	42	42
216	9787112177059	建筑施工土石方工程安全技术规范	阿莫罗索 费腾	中国建筑工业出版社	2016	10	10
217	9787112181148	天然气低碳催化燃烧特性和应用	张世红 瓦莱丽 艾伦	中国建筑工业出版社	2015	22.1	22
218	9787112187126	西北荒漠化地区生态民居模式	张群	中国建筑工业出版社	2016	32.3	32
219	9787112188482	混凝土结构设计（第三版）	梁兴文 史庆轩	中国建筑工业出版社	2016	29.5	29
220	9787112191857	施工起重机械安全管理实操手册	张鲁风 中国建筑业协会 北京康建建安建筑工程技术研究有限责任公司	中国建筑工业出版社	2016	30.6	30
221	9787112191901	光伏建筑设计与实践	罗多 班广生	中国建筑工业出版社	2016	38.3	38
222	9787112195701	中国建筑2016年技术交流会优秀论文集	毛志兵/主编	中国建筑工业出版社	2016	130	130
223	9787112206643	黏滞阻尼技术工程设计与应用	丁洁民、吴宏磊	中国建筑工业出版社	2017	83.3	83
224	9787112209057	建设项目竣工决算百问	杨章金、杨婷、杨雁、温海英、李宏舟	中国建筑工业出版社	2017	38	38
225	9787112220762	建筑人类学	[英] 维克多·布克利	中国建筑工业出版社	2018-5	45	45
226	9787112225682	建筑电气施工图设计与审查问题详解	宫周鼎/著	中国建筑工业出版社	2018	68	68
227	9787112228430	2019年一级注册建筑师考试应试辅导：设计前期与场地设计	倪吉昌	中国建筑工业出版社	2018	22.7	22
228	9787113027391	高性能混凝土――材料特性与设计	等	中国铁道出版社	1997-06	26.5	26
229	9787113043094	铁路路风常用词典	贾新民	中国铁道出版社	2001-8	9	9
230	9787113045777	Delphi开发实用编程200例	周亚玲/苏治中编	中国铁道出版社	2006-1	48	48
231	9787113062484	3ds max 6三维建模与动画基础培训教程	王红卫编	中国铁道出版社	2004-1	21	21
232	9787113067137	Visual Basic程序设计基础	柴欣 武优西	中国铁道出版社	2005-10	25	25
233	9787113070113	赢得顾客的五个步骤	尹传高	中国铁道	2006-4	25	25
234	9787113073343	SolidWorks2006原厂教育训练手册	实威科技	中国铁道出版社	2006-9	72	72
235	9787113131111	脱线的尖鼻鼠	林建军 绘	中国铁道	2011-7	25	25
236	9787113139315	马尔代夫旅行Let's Go	陈荣	中国铁道	2012-2	36.8	36
237	9787113159436	数控加工技术与技能训练/中等职业学校模具制造技术专业规划教材	张萍	中国铁道出版社	2013	19.3	19
238	9787113206895	沉默道钉的足迹：纪念华工建设美国铁路	黄安年、李炬/著	中国铁道出版社	2015-9	242.1	242
239	9787113210601	短线操盘实战之捕获涨停板	曹明成 谭文	中国铁道出版社	2016	39.4	39
240	9787113216351	泰国	亲历者编辑部	中国铁道出版社	2016	13	13
241	9787113224523	IT创新思维与创新方法	周苏	中国铁道出版社	2016	42.9	42
242	9787113238858	城市轨道交通运营管理/城市轨道交通系列丛书	林瑜筠	中国铁道出版社	2017	33.4	33
243	9787113239732	中国战略性新兴产业——新材料（第三代半导体材料）	郑有炓 吴玲 沈波	中国铁道出版社	2017	88.2	88
244	9787113240585	轨道电路设备原理及维护	林瑜筠	中国铁道出版社	2017	28.2	28
245	9787113268275	从生活常识的角度看懂财务报表	朱菲菲	中国铁道出版社有限公司		59	59
246	9787114037245	软土工程施工技术与环境保护	杨林德	人民交通	2000-9-1	28	28
247	9787114051418	公路工程试验仪器使用与维护	李玉珍余素萍李玉珍余素萍	人民交通出版社	2004-8	30	30
248	9787114055447	汽车试验学	何耀华	第1版 (2005年8月1日)	2005-8	23	23
249	9787114055485	摩托车构造与维修。机械部分、电路部分	山东德州汽车摩托车专修学院摩托车教研室编	人民交通出版社	2005-8	70	70
250	9787114056826	公路路基/路面/环保工程质量检验评定实用手册	熊焕荣	人民交通出版社	2005-10	70	70
251	9787114057861	排水固结加固软基技术指南	赵维炳/编	人民交通出版社	2005-10	20	20
252	9787114058967	公路工程施工监理质量控制技术手册	文德云/编	人民交通出版社	2006-1	96	96
253	9787114063442	道路勘测设计	杨春风，欧阳建湘	人民交通	2007-2	39	39
254	9787114077067	世界地图（中英文）	席少楠	人民交通出版社	2010-1	9	9
255	9787114101816	仓储管理实务	周雪梅	人民交通出版社	2012	37	37
256	9787114112133	公路建设百问丛书：隧道施工百问	李树忱 俞文生 马腾飞	人民交通出版社	2014	38.7	38
257	9787114116971	汽车维修从业人员安全生产指南	人民交通出版社	人民交通出版社股份有限公司	2014	39	39
258	9787114126451	高速公路机电系统运行维护管理	张新 张明月 孙昊	人民交通出版社股份有限公司	2016	22.5	22
259	9787114128004	盾构施工技术（第二版）	焦胜军	人民交通出版社	2016-3-1	98	98
260	9787114137075	地下建筑结构设计原理与方法/全国普通高等教育“十三五”规划教材·隧道与地下工程领域融合创新精品教材	李树忱 马腾飞 冯现大	人民交通出版社股份有限公司	2018	44.1	44
261	9787114150289	城市地下空间开发	王晓睿	人民交通出版社股份有限公司	2018-10	45	45
262	9787114151392	中国房地产杰出人物志 10年100人（2008-2018）	陈云峰 中经联盟	人民交通出版社股份有限公司	2018	234.5	234
263	9787115085375	影碟机录放像机电源电路故障检修 (平装)	李勇帆	人民邮电出版社 (2000年8月1日)	2000年08月	31	31
264	9787115087386	多媒体素材制作与网页编辑	黄宁宁	人民邮电出版社	2000-10	43	43
265	9787115089311	梦幻魔方之Maya 3 3DS MAX 3人物造型与动画	蒋春林	人民邮电出版社	2001-1	46	46
266	9787115089458	电路设计与制版	赵晶	人民邮电出版社	2000-11	58	58
267	9787115092113	数据结构	郑晓红	人民邮电出版社	2001-8-1	16	16
268	9787115092687	MCSE学习指南.Windows2000 Network Administration	Syngress Media 公司	第1版 (2001年6月1日)	2001-6	75	75
269	9787115095275	Fireworks 4.0精彩效果实例	裴永茂	人民邮电出版社	2001-8-1	38	38
270	9787115096586	即时应用Enterprise JavaBeans	特雷姆利特(Paul Tremblett)	人民邮电出版社	2001-11	53	53
271	9787115096678	MATLAB工程计算及应用	李丽、王振领/编	人民邮电出版社	2004-7	28	28
272	9787115108357	TDMA空中接口技术	孙宇彤	人民邮电出版社	2002-12-1	24	24
273	9787115116147	河流和湖泊	童趣出版有限公司	人民邮电出版社	2004-4-1	12	12
274	9787115118097	C++ Templates中文版	Nicolai M.Josuttis	人民邮电出版社	2004-1-1	62	62
275	9787115121776	实用网址速查手册	东方工作室	人民邮电出版社	2004-4	12	12
276	9787115122186	Photoshop CS中文版基础培训教程	周建国	人民邮电出版社	2004-5-1	28	28
277	9787115131461	网络工程师考点精讲与试题精解	李琳	人民邮电出版社	2005-8	69	69
278	9787115134158	后短信时代	刘健民	人民邮电出版社	2005-6	25	25
279	9787115137517	Visual C++ Visual Basic串并口开发技术工程应用实例导航	求是科技	人民邮电出版社	2006-1	52	52
280	9787115138842	异常与临床心理学	保罗·贝内特	人民邮电出版社	2005-10	49	49
281	9787115141682	Java程序设计教程	丁新民	人民邮电出版社	2006-2	26	26
282	9787115145444	康佳高清平板彩色电视机电路图集(第1集)/名优家电系列丛书	张传轮	人民邮电出版社	2006年03月	32	32
283	9787115146885	ASP数据库系统开发案例精选	盖天宇	人民邮电出版社	2006-5	49	49
284	9787115156839	CorelDRAW童装款式设计案例精选	马仲岭	人民邮电出版社	2007-3	45	45
285	9787115165398	Adobe InDesign CS2认证考试指南	段炼 DDC传媒 Adobe专家委员会	人民邮电出版社	2007-10	32	32
286	9787115165763	无师自通	北斗星文化传媒	人民邮电	2007-1	32	32
287	9787115168733	电机与电气控制	施振金/编	人民邮电	2007-12	20	20
288	9787115170873	智慧公主能力大考验	童趣出版有限公司	人民邮电	2008-1	13.5	13
289	9787115173591	无师自通	星光科技	人民邮电	2008-3	24.8	24
290	9787115174161	【年末清仓】新大纲	候俊伯	人民邮电	2008-2	28	28
291	9787115178084	ADOBE DREAMWEAVER CS3标准培训教材	薛欣 Adobe专家委员会 DDC传媒	人民邮电出版社	2008-7	36	36
292	9787115178992	Excel高效办公	Excel Home	人民邮电出版社	2008-7	49	49
293	9787115186126	餐馆老板案头手册	蔡万坤 靳星 杨昆	人民邮电出版社	2008-10	58	58
294	9787115189493	SQL Server 2005管理员手册	惠伦 Garcia Patel Misner 黄湘情 谢琳 张静妍	人民邮电出版社	2009-1	108	108
295	9787115199126	简氏坦克与装甲车鉴赏指南	福斯	人民邮电出版社	2009-10	59	59
